Date : 2023-09-14 00:31:38
Directory : d:\Coding\ProjectFullStack\Twinki-social\client
Total : 113 files,  1554 codes, 48 comments, 300 blanks, all 1902 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript JSX     |         39 |        725 |         19 |        109 |        853 |
| JavaScript         |         61 |        433 |          3 |        112 |        548 |
| SCSS               |          4 |        282 |          3 |         69 |        354 |
| JSON               |          4 |         49 |          0 |          1 |         50 |
| CSS                |          2 |         45 |          0 |          7 |         52 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          1 |          6 |         23 |          0 |         29 |
| Properties         |          1 |          1 |          0 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        113 |      1,554 |         48 |        300 |      1,902 |
| . (Files)                                                                                                        |          6 |         99 |         24 |          7 |        130 |
| src                                                                                                              |        107 |      1,455 |         24 |        293 |      1,772 |
| src\app                                                                                                          |          6 |        313 |         18 |         78 |        409 |
| src\app (Files)                                                                                                  |          2 |        223 |          1 |         62 |        286 |
| src\app\providers                                                                                                |          2 |         67 |         17 |         11 |         95 |
| src\app\store                                                                                                    |          2 |         23 |          0 |          5 |         28 |
| src\entities                                                                                                     |          5 |         40 |          0 |         10 |         50 |
| src\entities\session                                                                                             |          5 |         40 |          0 |         10 |         50 |
| src\entities\session (Files)                                                                                     |          1 |          0 |          0 |          1 |          1 |
| src\entities\session\api                                                                                         |          2 |         13 |          0 |          5 |         18 |
| src\entities\session\model                                                                                       |          2 |         27 |          0 |          4 |         31 |
| src\features                                                                                                     |         28 |        375 |          0 |         56 |        431 |
| src\features\auth                                                                                                |         22 |        342 |          0 |         49 |        391 |
| src\features\auth\invalidateAccessToken                                                                          |          2 |         14 |          0 |          5 |         19 |
| src\features\auth\invalidateAccessToken (Files)                                                                  |          1 |          1 |          0 |          1 |          2 |
| src\features\auth\invalidateAccessToken\model                                                                    |          1 |         13 |          0 |          4 |         17 |
| src\features\auth\login                                                                                          |          4 |         81 |          0 |         10 |         91 |
