Date : 2023-09-14 00:31:43
Directory : d:\Coding\ProjectFullStack\Twinki-social
Total : 151 files,  2655 codes, 145 comments, 493 blanks, all 3293 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |         93 |      1,308 |         36 |        258 |      1,602 |
| JavaScript JSX     |         39 |        725 |         19 |        109 |        853 |
| SCSS               |          4 |        282 |          3 |         69 |        354 |
| SQL                |          3 |        158 |         52 |         46 |        256 |
| JSON               |          5 |        110 |          0 |          2 |        112 |
| CSS                |          2 |         45 |          0 |          7 |         52 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| JSON with Comments |          2 |         12 |         35 |          0 |         47 |
| Properties         |          1 |          1 |          0 |          1 |          2 |
| Markdown           |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        151 |      2,655 |        145 |        493 |      3,293 |
| . (Files)                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| client                                                                                                           |        113 |      1,554 |         48 |        300 |      1,902 |
| client (Files)                                                                                                   |          6 |         99 |         24 |          7 |        130 |
| client\src                                                                                                       |        107 |      1,455 |         24 |        293 |      1,772 |
| client\src\app                                                                                                   |          6 |        313 |         18 |         78 |        409 |
| client\src\app (Files)                                                                                           |          2 |        223 |          1 |         62 |        286 |
| client\src\app\providers                                                                                         |          2 |         67 |         17 |         11 |         95 |
| client\src\app\store                                                                                             |          2 |         23 |          0 |          5 |         28 |
| client\src\entities                                                                                              |          5 |         40 |          0 |         10 |         50 |
| client\src\entities\session                                                                                      |          5 |         40 |          0 |         10 |         50 |
| client\src\entities\session (Files)                                                                              |          1 |          0 |          0 |          1 |          1 |
| client\src\entities\session\api                                                                                  |          2 |         13 |          0 |          5 |         18 |
| client\src\entities\session\model                                                                                |          2 |         27 |          0 |          4 |         31 |
| client\src\features                                                                                              |         28 |        375 |          0 |         56 |        431 |
| client\src\features\auth                                                                                         |         22 |        342 |          0 |         49 |        391 |
| client\src\features\auth\invalidateAccessToken                                                                   |          2 |         14 |          0 |          5 |         19 |
| client\src\features\auth\invalidateAccessToken (Files)                                                           |          1 |          1 |          0 |          1 |          2 |
| client\src\features\auth\invalidateAccessToken\model                                                             |          1 |         13 |          0 |          4 |         17 |
| client\src\features\auth\login                                                                                   |          4 |         81 |          0 |         10 |         91 |
| client\src\features\auth\login (Files)                                                                           |          1 |          3 |          0 |          2 |          5 |
| client\src\features\auth\login\api                                                                               |          1 |         12 |          0 |          2 |         14 |
| client\src\features\auth\login\model                                                                             |          1 |         23 |          0 |          2 |         25 |
| client\src\features\auth\login\ui                                                                                |          1 |         43 |          0 |          4 |         47 |
| client\src\features\auth\logout                                                                                  |          5 |         50 |          0 |          9 |         59 |
| client\src\features\auth\logout (Files)                                                                          |          1 |          1 |          0 |          1 |          2 |
| client\src\features\auth\logout\api                                                                              |          2 |         15 |          0 |          5 |         20 |
| client\src\features\auth\logout\model                                                                            |          1 |         20 |          0 |          1 |         21 |
| client\src\features\auth\logout\ui                                                                               |          1 |         14 |          0 |          2 |         16 |
| client\src\features\auth\register                                                                                |         11 |        197 |          0 |         25 |        222 |
| client\src\features\auth\register (Files)                                                                        |          1 |          1 |          0 |          1 |          2 |
| client\src\features\auth\register\api                                                                            |          2 |         28 |          0 |          4 |         32 |
| client\src\features\auth\register\ui                                                                             |          8 |        168 |          0 |         20 |        188 |
| client\src\features\auth\register\ui (Files)                                                                     |          1 |          7 |          0 |          1 |          8 |
| client\src\features\auth\register\ui\fifth-step                                                                  |          1 |         39 |          0 |          5 |         44 |
| client\src\features\auth\register\ui\first-step                                                                  |          1 |         32 |          0 |          3 |         35 |
| client\src\features\auth\register\ui\fourth-step                                                                 |          1 |         29 |          0 |          2 |         31 |
| client\src\features\auth\register\ui\second-step                                                                 |          1 |         13 |          0 |          2 |         15 |
| client\src\features\auth\register\ui\seven-step                                                                  |          1 |         11 |          0 |          2 |         13 |
| client\src\features\auth\register\ui\six-step                                                                    |          1 |         13 |          0 |          3 |         16 |
| client\src\features\auth\register\ui\third-step                                                                  |          1 |         24 |          0 |          2 |         26 |
| client\src\features\test                                                                                         |          6 |         33 |          0 |          7 |         40 |
| client\src\features\test (Files)                                                                                 |          1 |          0 |          0 |          1 |          1 |
| client\src\features\test\api                                                                                     |          2 |         26 |          0 |          3 |         29 |
| client\src\features\test\model                                                                                   |          2 |          0 |          0 |          2 |          2 |
| client\src\features\test\ui                                                                                      |          1 |          7 |          0 |          1 |          8 |
| client\src\pages                                                                                                 |         15 |        123 |          0 |         27 |        150 |
| client\src\pages\auth                                                                                            |          2 |         16 |          0 |          6 |         22 |
| client\src\pages\home                                                                                            |          2 |         15 |          0 |          4 |         19 |
| client\src\pages\layouts                                                                                         |          5 |         36 |          0 |          6 |         42 |
| client\src\pages\layouts (Files)                                                                                 |          1 |          1 |          0 |          1 |          2 |
| client\src\pages\layouts\main-layout                                                                             |          4 |         35 |          0 |          5 |         40 |
| client\src\pages\layouts\main-layout (Files)                                                                     |          1 |         14 |          0 |          2 |         16 |
| client\src\pages\layouts\main-layout\components                                                                  |          3 |         21 |          0 |          3 |         24 |
| client\src\pages\page-404                                                                                        |          2 |          9 |          0 |          2 |         11 |
| client\src\pages\test                                                                                            |          2 |         20 |          0 |          4 |         24 |
| client\src\pages\welcome                                                                                         |          2 |         27 |          0 |          5 |         32 |
| client\src\shared                                                                                                |         48 |        506 |          6 |        106 |        618 |
| client\src\shared\api                                                                                            |          9 |        118 |          2 |         27 |        147 |
| client\src\shared\api (Files)                                                                                    |          1 |          2 |          1 |          2 |          5 |
| client\src\shared\api\external                                                                                   |          5 |         38 |          0 |         10 |         48 |
| client\src\shared\api\internal                                                                                   |          3 |         78 |          1 |         15 |         94 |
| client\src\shared\config                                                                                         |          4 |         13 |          0 |          2 |         15 |
| client\src\shared\config\locales                                                                                 |          4 |         13 |          0 |          2 |         15 |
| client\src\shared\config\locales (Files)                                                                         |          1 |          4 |          0 |          2 |          6 |
| client\src\shared\config\locales\en                                                                              |          1 |          3 |          0 |          0 |          3 |
| client\src\shared\config\locales\ru                                                                              |          1 |          3 |          0 |          0 |          3 |
| client\src\shared\config\locales\ua                                                                              |          1 |          3 |          0 |          0 |          3 |
| client\src\shared\i18n                                                                                           |          2 |         25 |          0 |          5 |         30 |
| client\src\shared\lib                                                                                            |          8 |        101 |          1 |         20 |        122 |
| client\src\shared\lib\debounce                                                                                   |          2 |         14 |          0 |          4 |         18 |
| client\src\shared\lib\modal                                                                                      |          2 |         23 |          0 |          6 |         29 |
| client\src\shared\lib\notify                                                                                     |          2 |         60 |          1 |          7 |         68 |
| client\src\shared\lib\redux                                                                                      |          2 |          4 |          0 |          3 |          7 |
| client\src\shared\ui                                                                                             |         25 |        249 |          3 |         52 |        304 |
| client\src\shared\ui\check-route                                                                                 |          2 |          8 |          0 |          3 |         11 |
| client\src\shared\ui\form-field                                                                                  |          2 |         35 |          0 |          7 |         42 |
| client\src\shared\ui\full-page-wrapper                                                                           |          3 |         16 |          0 |          4 |         20 |
| client\src\shared\ui\input-form                                                                                  |          2 |          5 |          0 |          2 |          7 |
| client\src\shared\ui\input-global                                                                                |          2 |          6 |          1 |          3 |         10 |
| client\src\shared\ui\loadable                                                                                    |          2 |         19 |          0 |          3 |         22 |
| client\src\shared\ui\modal                                                                                       |          3 |         34 |          0 |          6 |         40 |
| client\src\shared\ui\multi-step-button                                                                           |          3 |         41 |          1 |          8 |         50 |
| client\src\shared\ui\navigation-modal-button                                                                     |          3 |         38 |          1 |          7 |         46 |
| client\src\shared\ui\spinner                                                                                     |          3 |         47 |          0 |          9 |         56 |
